"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"2ef3fee975f6662ecb5054d21147c29d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Carpinus caroliniana","Christenhusz, 2009b","1788","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","","caroliniana","","Walter, 1788","aceptado"
"67811d9a9f10c7bcade981c95075439b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Asterohyptis mociniana","Tropicos, 2022","1932","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Asterohyptis","","mociniana","","(Benth.) Epling, 1932","sinónimo"
"e50a712846a2b59339496e4caab6add5","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Salvia mexicana","González-Gallegos, Pío-León & Castro-Castro, 2021","1753","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","","mexicana","","L., 1753","aceptado"
"9008dcef68e299abd4f5678851c73302","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"2c2fa3890686923e514adcd9735772c3","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","VALIDO","NO PROCESADO","","Petroselinum sativum","Villaseñor, Ortiz, Redonda-Martínez & Gual, 2010","1814","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Petroselinum","","sativum","","Hoffm., 1814","sinónimo"
"1d83432e0ab79e9487cd2ae2e42eb37b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"6bd1b17da5a61333864b3a708be5e85e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Oncidium cavendishianum","POWO, 2022","1837","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Oncidium","","cavendishianum","","Bateman, 1837","sinónimo"
"3b6ae18b4161ebf50ae9b0911a018e99","Facultad de Ciencias, Universidad Nacional Autónoma de México","Herbario María Agustina Batalla","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","VALIDO","NO PROCESADO","","Tagetes erecta","Pruski & Robinson, 2018","1753","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","","erecta","","L., 1753","aceptado"
"c848280968fad8c03a8b00fc974d3cce","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Piqueria triflora","Vascular Plants of the Americas, 2024","1881","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Piqueria","","triflora","","Hemsl., 1881","aceptado"
"3d88b60b48cb028cdd378be560358d96","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Cornus disciflora","Vascular Plants of the Americas, 2024","1830","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","","disciflora","","Moc. & Sessé ex DC., 1830","aceptado"
"cfc7ca021c99c22eb6eba4feceb41461","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"9861781bef560c08fcb7040f4527d2b6","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"72b0d63bef087720fae1ae3166d29512","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"736a97562abf3777bd6f328a7b82c276","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Guardiola tulocarpus","Vascular Plants of the Americas, 2024","1852","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Guardiola","","tulocarpus","","A. Gray, 1852","aceptado"
"3a529612ff764c3b66d427119eaf6f60","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Bocconia arborea","García, 2011","1890","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Bocconia","","arborea","","S. Watson, 1890","aceptado"
"ec7fac51e0265e8c2739e05c503f84f0","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Mimosa guatemalensis","Vascular Plants of the Americas, 2024","1844","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","","guatemalensis","","(Hook. & Arn.) Benth., 1844","aceptado"
"2064548622bf4c291d87d5306af5ede9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Castilleja tenuiflora","Vascular Plants of the Americas, 2024","1839","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","","tenuiflora","","Benth., 1839","aceptado"
"b6d8c7114493381da79678b61908c9ad","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"02c15b40e5ad99ace33bf458d18a0361","Escuela Nacional de Ciencias Biológicas, Instituto Politécnico Nacional","Herbario Jerzy Rzedowski y Graciela Calderón","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Calea urticifolia","Hassler, 2024b","1836","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Calea","","urticifolia","","(Mill.) DC., 1836","aceptado"
"0bb1792ca1d39f49730d6be9b191af42","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Alloispermum scabrifolium","POWO, 2024","1978","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Alloispermum","","scabrifolium","","(Hook. & Arn.) H. Rob., 1978","aceptado"
"739f60e5f0c2cfcb881ccb1800ee44e1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","NO VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"c3cdbaaff6d41e921ffa38c98827401e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","NO VALIDO","NO PROCESADO","","Psychotria mexiae","Borhidi, 2019","1929","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Psychotria","","mexiae","","Standl., 1929","aceptado"
"41bc41dbcb198859a942de8ad1b0419e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","NO VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"759a9279208c125851ce9447b2f88080","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","XALISCO","VALIDO","NO PROCESADO","","Melothria pendula","Lira & Rodríguez-Arévalo, 2006","1753","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Melothria","","pendula","","L., 1753","aceptado"
